company,company_stage,country,days_since_layoff,Sum of funds_raised_million,Sum of id,industry,Sum of laid_off,Year,Quarter,Month,Day,Sum of layoff_day,Sum of layoff_month,layoff_percentage,Sum of layoff_quarter,layoff_severity,Sum of layoff_year,location_city,location_region,news_source_url,Year,Quarter,Month,Day
Kape Technologies,Post-IPO,United Kingdom,707,188,1193,Security,200,2023,Qtr 3,July,30,30,7,30%,3,Normal,2023,London,Non-U.S.,https://techreport.com/news/cybersecurity-firm-kape-technologies-lay-off-around-200-employees/,2023,Qtr 3,July,31
Karma,Series A,Israel,794,34,1489,Retail,20,2023,Qtr 2,May,4,4,5,28%,2,Normal,2023,Tel Aviv,Non-U.S.,https://www.calcalistech.com/ctechnews/article/bj11xzuw43,2023,Qtr 2,May,6
Katerra,Series D,United States,1921,1200,3929,Construction,240,2020,Qtr 2,April,2,2,4,3%,2,Normal,2020,SF Bay Area,,https://www.constructiondive.com/news/katerra-ceos-salary-cut-to-0-amid-layoffs-operation-shutdowns/575460/,2020,Qtr 2,April,4
Katerra,Series E,United States,1833,1300,3549,Construction,400,2020,Qtr 2,June,29,29,6,7%,2,Normal,2020,SF Bay Area,,https://www.theinformation.com/articles/softbank-backed-katerra-lays-off-more-than-400-employees,2020,Qtr 2,June,30
Katerra,Unknown,United States,1496,1600,3434,Construction,2434,2021,Qtr 2,June,1,1,6,100%,2,Major,2021,SF Bay Area,,https://therealdeal.com/2021/06/01/troubled-construction-startup-katerra-will-shut-down-report/,2021,Qtr 2,June,2
Kayak / OpenTable,Acquired,United States,1894,229,3714,Travel,160,2020,Qtr 2,April,29,29,4,8%,2,Normal,2020,Stamford,,https://skift.com/2020/04/29/kayak-and-opentable-layoffs-and-furloughs-impact-400-employees/,2020,Qtr 2,April,30
KeepTruckin,Series D,United States,1923,227,3976,Logistics,349,2020,Qtr 1,March,31,31,3,18%,1,Normal,2020,SF Bay Area,,https://layoffs.fyi/2020/03/31/keeptruckin-lays-off-another-149-employees-one-month-after-previous-layoff/,2020,Qtr 2,April,1
Kenko Health,Series A,India,676,14,1090,Healthcare,50,2023,Qtr 3,August,30,30,8,20%,3,Normal,2023,Mumbai,Non-U.S.,https://www.businessinsider.in/business/startups/news/healthcare-startup-kenko-health-lays-off-20-of-workforce-across-functions/articleshow/103201380.cms,2023,Qtr 3,September,1
Kenko Health,Unknown,India,677,14,1093,Healthcare,50,2023,Qtr 3,August,29,29,8,20%,3,Normal,2023,Mumbai,Non-U.S.,https://entrackr.com/2023/08/exclusive-kenko-health-lays-off-20-of-workforce/,2023,Qtr 3,August,29
Kenoby,Unknown,Brazil,1915,23,3864,Recruiting,18,2020,Qtr 2,April,8,8,4,16%,2,Normal,2020,Sao Paulo,Non-U.S.,"https://link.estadao.com.br/noticias/inovacao,onda-de-demissoes-em-startups-atinge-getninjas-creditas-e-omie,70003263878",2020,Qtr 2,April,12
Khoros,Private Equity,United States,989,138,2591,Sales,120,2022,Qtr 4,October,21,21,10,10%,4,Normal,2022,Austin,,https://www.bizjournals.com/austin/inno/stories/news/2022/10/21/report-layoffs-at-khoros.html,2022,Qtr 4,October,22
Kiavi,Series E,United States,1088,240,3010,Real Estate,39,2022,Qtr 3,July,14,14,7,7%,3,Normal,2022,SF Bay Area,,https://www.housingwire.com/articles/fix-and-flip-lender-kiavi-lays-off-7-of-employees/,2022,Qtr 3,July,23
Kickstarter,Unknown,United States,1880,10,3647,Finance,25,2020,Qtr 2,May,13,13,5,18%,2,Normal,2020,New York City,,https://www.theverge.com/2020/5/13/21257585/kickstarter-layoffs-employees-union-negotiations-severance,2020,Qtr 2,May,14
Kinde,Seed,Australia,867,10,1777,Other,8,2023,Qtr 1,February,20,20,2,28%,1,Normal,2023,Sydney,Non-U.S.,https://www.news.com.au/finance/work/at-work/sydney-technology-company-kinde-lays-off-285-of-staff-as-focus-moves-to-product-team/news-story/618e97ecfe4b7e088a6ff39a70a78bcb,2023,Qtr 1,February,20
Kissflow,Unknown,India,391,1,441,Other,45,2024,Qtr 2,June,10,10,6,11%,2,Normal,2024,Chennai,Non-U.S.,https://economictimes.indiatimes.com/tech/startups/bootstrapped-saas-startup-kissflow-culls-11-workforce/articleshow/110875509.cms?from=mdr,2024,Qtr 2,June,11
Kitopi,Series C,United States,958,804,2388,Food,93,2022,Qtr 4,November,21,21,11,10%,4,Normal,2022,Dubai,Non-U.S.,https://www.arabianbusiness.com/jobs/dubai-unicorn-kitopi-sacks-93-head-office-staff-as-tech-industry-slumps,2022,Qtr 4,November,23
Kitty Hawk,Unknown,United States,1019,1,2688,Aerospace,100,2022,Qtr 3,September,21,21,9,100%,3,Normal,2022,SF Bay Area,,https://www.sfgate.com/bayarea/article/Silicon-Valley-startup-lays-off-100-employees-17484239.php,2022,Qtr 3,September,22
Kiwi.com,Unknown,Czech Republic,523,107,688,Travel,216,2024,Qtr 1,January,30,30,1,18%,1,Normal,2024,Brno,Non-U.S.,https://cc.cz/vyhledavac-letenek-kiwi-com-hromadne-propousti-nejtezsi-rozhodnuti-v-zivote-rika-dlouhy/,2024,Qtr 1,January,30
Klarna,Unknown,Sweden,1140,3700,3307,Finance,700,2022,Qtr 2,May,23,23,5,10%,2,Normal,2022,Stockholm,Non-U.S.,https://www.di.se/digital/sparpaket-pa-klarna-sparkar-10-procent-av-alla-anstallda/,2022,Qtr 2,May,23
Klook,Series D,Hong Kong,1903,521,3770,Travel,300,2020,Qtr 2,April,20,20,4,15%,2,Normal,2020,Hong Kong,Non-U.S.,https://layoffs.fyi/2020/08/09/asian-travel-startup-klook-releases-talent-directory/,2020,Qtr 2,May,6
Klue,Series B,United States,11,83,6,Sales,85,2025,Qtr 2,June,25,25,6,40%,2,Normal,2025,Vancouver,Non-U.S.,https://betakit.com/klue-lays-off-40-percent-of-staff-as-startup-faces-internal-and-external-ai-pressure/,2025,Qtr 2,June,25
Knock,Unknown,United States,1209,654,3393,Real Estate,115,2022,Qtr 1,March,15,15,3,46%,1,Normal,2022,New York City,,https://www.bloomberg.com/news/articles/2022-03-15/startup-knock-scraps-plans-to-go-public-lays-off-half-its-staff,2022,Qtr 1,March,17
Knotel,Series C,United States,1711,560,3478,Real Estate,20,2020,Qtr 4,October,29,29,10,8%,4,Normal,2020,New York City,,https://www.businessinsider.com/knotel-layoffs-job-cuts-coworking-fundraise-amol-sarva-office-demand-2020-10,2020,Qtr 4,November,3
Knotel,Series C,United States,1927,560,4018,Real Estate,127,2020,Qtr 1,March,27,27,3,30%,1,Normal,2020,New York City,,https://commercialobserver.com/2020/03/knotel-cuts-half-of-its-staff-amid-coronavirus-pandemic/,2020,Qtr 1,March,29
Kodiak Robotics,Series A,United States,1908,40,3810,Transportation,15,2020,Qtr 2,April,15,15,4,20%,2,Normal,2020,SF Bay Area,,https://www.freightwaves.com/news/kodiak-robotics-lays-of-20-of-its-staff,2020,Qtr 2,April,17
Koho,Series D,Canada,962,278,2409,Finance,15,2022,Qtr 4,November,17,17,11,4%,4,Normal,2022,Toronto,Non-U.S.,https://betakit.com/canadian-tech-layoffs-continue-as-tough-year-comes-to-a-close/,2022,Qtr 4,November,20
KoinWorks,Unknown,Indonesia,975,180,2517,Finance,70,2022,Qtr 4,November,4,4,11,8%,4,Normal,2022,Jakarta,Non-U.S.,https://www.techinasia.com/koinworks-layoff-2022,2022,Qtr 4,November,28
Komodo Health,Series C,United States,1903,50,3776,Healthcare,23,2020,Qtr 2,April,20,20,4,9%,2,Normal,2020,SF Bay Area,,https://www.businessinsider.com/forward-primary-care-startup-layoffs-amid-coronavirus-pandemic-2020-4,2020,Qtr 2,April,21
Komodo Health,Series E,United States,936,514,2231,Healthcare,78,2022,Qtr 4,December,13,13,12,9%,4,Normal,2022,SF Bay Area,,https://techcrunch.com/2022/12/13/komodo-health-once-tipped-for-a-looming-ipo-has-cut-staff-as-cfo-departs/,2022,Qtr 4,December,14
Kontist,Series B,Germany,1138,53,3298,Finance,50,2022,Qtr 2,May,25,25,5,25%,2,Normal,2022,Berlin,Non-U.S.,https://financefwd.com/de/kontist-entlassungen/,2022,Qtr 2,May,25
Koo,Series B,India,808,50,1538,Consumer,78,2023,Qtr 2,April,20,20,4,30%,2,Normal,2023,Bengaluru,Non-U.S.,https://economictimes.indiatimes.com/tech/startups/twitters-rival-koo-fires-30-staff-on-funding-crunch/articleshow/99632488.cms,2023,Qtr 2,April,20
Kraken,Unknown,United States,249,134,242,Crypto,400,2024,Qtr 4,October,30,30,10,15%,4,Normal,2024,SF Bay Area,,https://www.nytimes.com/2024/10/30/technology/kraken-cryptocurrency-layoff-ceo.html,2024,Qtr 4,October,31
Kraken,Unknown,United States,949,134,2327,Crypto,1100,2022,Qtr 4,November,30,30,11,30%,4,Major,2022,SF Bay Area,,https://blog.kraken.com/post/16442/business-update/,2022,Qtr 4,November,30
Kry,Series D,Sweden,1146,568,3321,Healthcare,100,2022,Qtr 2,May,17,17,5,10%,2,Normal,2022,Stockholm,Non-U.S.,https://www.di.se/digital/sparpaket-pa-kry-varslar-100-personer/,2022,Qtr 2,May,17
Kry,Series D,Sweden,979,568,2557,Healthcare,300,2022,Qtr 4,October,31,31,10,10%,4,Normal,2022,Stockholm,Non-U.S.,https://www.dn.se/ekonomi/kry-sager-upp-runt-300-anstallda/,2022,Qtr 4,November,2
Kuda,Series B,Nigeria,1038,91,2752,Finance,23,2022,Qtr 3,September,2,2,9,5%,3,Normal,2022,Lagos,Non-U.S.,https://techcrunch.com/2022/09/02/nigerian-digital-bank-kuda-is-the-latest-african-startup-to-lay-off-employees/,2022,Qtr 3,September,6
Kueski,Series B,Mexico,1903,38,3773,Finance,90,2020,Qtr 2,April,20,20,4,30%,2,Normal,2020,Guadalajara,Non-U.S.,https://elceo.com/tecnologia/fintech-de-prestamos-en-linea-sufriran-estragos-por-el-covid-19/,2020,Qtr 2,April,21
Lacework,Series D,United States,1138,1900,3295,Security,300,2022,Qtr 2,May,25,25,5,20%,2,Normal,2022,SF Bay Area,,https://twitter.com/GergelyOrosz/status/1529575067117658112,2022,Qtr 2,May,26
Ladder Life,Series C,United States,1931,94,4072,Finance,13,2020,Qtr 1,March,23,23,3,25%,1,Normal,2020,SF Bay Area,,LinkedIn,2020,Qtr 2,April,7
Lastline,Series C,United States,1858,52,3581,Security,50,2020,Qtr 2,June,4,4,6,40%,2,Normal,2020,SF Bay Area,,https://techcrunch.com/2020/06/04/vmware-lastline-staff-cuts/,2020,Qtr 2,June,5
Latch,Post-IPO,United States,1069,342,2899,Security,115,2022,Qtr 3,August,2,2,8,37%,3,Normal,2022,New York City,,https://www.globenewswire.com/news-release/2022/08/02/2490797/0/en/Latch-announces-further-changes-to-improve-operating-efficiency.html,2022,Qtr 3,August,5
Latch,Post-IPO,United States,1143,342,3315,Security,130,2022,Qtr 2,May,20,20,5,28%,2,Normal,2022,New York City,,https://www.globenewswire.com/news-release/2022/05/20/2447915/0/en/Latch-resets-cost-structure.html,2022,Qtr 2,May,22
Latch,Post-IPO,United States,1153,342,3336,Security,30,2022,Qtr 2,May,10,10,5,6%,2,Normal,2022,New York City,,https://techcrunch.com/2022/05/13/startup-tech-layoff-and-hiring-freeze-in-may/,2022,Qtr 2,May,12
Lattice,Series C,United States,1878,49,3635,HR,16,2020,Qtr 2,May,15,15,5,10%,2,Normal,2020,SF Bay Area,,LinkedIn,2020,Qtr 2,May,30
Lattice,Series F,United States,906,328,2098,HR,105,2023,Qtr 1,January,12,12,1,15%,1,Normal,2023,SF Bay Area,,https://lattice.com/blog/ceo-jack-altmans-email-to-lattice-employees,2023,Qtr 1,January,12
Lawgeex,Series C,Israel,1034,41,2749,Legal,30,2022,Qtr 3,September,6,6,9,33%,3,Normal,2022,Tel Aviv,Non-U.S.,https://www.tech12.co.il/index-career/Article-daa4d2195231381027.htm?sCh=cf25c425b37bc710&pId=18758941771,2022,Qtr 3,September,7
Lazada Group,Acquired,Singapore,550,7200,798,Retail,100,2024,Qtr 1,January,3,3,1,30%,1,Normal,2024,Singapore,Non-U.S.,https://www.channelnewsasia.com/singapore/lazada-layoffs-retrenchment-job-cuts-employees-4024746,2024,Qtr 1,January,5
LEAD,Series E,India,1067,166,2880,Education,80,2022,Qtr 3,August,4,4,8,4%,3,Normal,2022,Mumbai,Non-U.S.,https://www.moneycontrol.com/news/business/startup/school-edtech-unicorn-lead-lets-go-of-about-100-employees-8954821.html,2022,Qtr 3,August,5
LeafLink,Series C,United States,934,379,2220,Other,80,2022,Qtr 4,December,15,15,12,31%,4,Normal,2022,New York City,,https://mjbizdaily.com/cannabis-wholesale-platform-leaflink-lays-off-80-workers/,2023,Qtr 1,February,1
Leafly,Acquired,United States,1931,2,4067,Retail,91,2020,Qtr 1,March,23,23,3,50%,1,Normal,2020,Seattle,,https://www.geekwire.com/2020/leafly-lays-off-additional-91-employees-eliminating-50-percent-staff-2020/,2020,Qtr 1,March,29
Leafly,Post-IPO,United States,843,71,1665,Retail,40,2023,Qtr 1,March,16,16,3,21%,1,Normal,2023,Seattle,,https://www.geekwire.com/2023/leafly-reportedly-lays-off-employees-for-second-time-in-a-year/,2023,Qtr 1,March,17
Leafly,Post-IPO,United States,992,71,2610,Retail,56,2022,Qtr 4,October,18,18,10,21%,4,Normal,2022,Seattle,,https://investor.leafly.com/news/news-details/2022/Leafly-Announces-Cost-Reductions-to-Strengthen-Financial-Profile/default.aspx,2022,Qtr 4,October,19
LearnUpon,Private Equity,Ireland,880,56,1857,Education,27,2023,Qtr 1,February,7,7,2,9%,1,Normal,2023,Dublin,Non-U.S.,https://www.independent.ie/business/technology/learnupon-to-let-27-go-as-tech-layoffs-continue-42331418.html,2023,Qtr 1,February,8
LeddarTech,Post-IPO,Canada,45,402,24,Transportation,138,2025,Qtr 2,May,22,22,5,95%,2,Normal,2025,Quebec,Non-U.S.,https://betakit.com/leddartech-cuts-95-percent-of-staff-in-bid-to-rescue-its-business/,2025,Qtr 2,May,23
Legible,Post-IPO,Canada,1189,3,3382,Media,23,2022,Qtr 2,April,4,4,4,38%,2,Normal,2022,Vancouver,Non-U.S.,https://betakit.com/in-effort-to-cut-costs-cse-listed-legible-lays-off-over-a-third-of-its-employees/,2022,Qtr 2,April,16
Lemon,Series A,Argentina,955,17,2371,Crypto,100,2022,Qtr 4,November,24,24,11,38%,4,Normal,2022,Buenos Aires,Non-U.S.,https://www.forbesargentina.com/innovacion/lemon-despide-tercio-sus-empleados-anuncia-nuevo-foco-compania-sea-mas-sostenible-n25358,2022,Qtr 4,November,25
Lemonade,Post-IPO,United States,782,481,1452,Finance,45,2023,Qtr 2,May,16,16,5,3%,2,Normal,2023,New York City,,https://www.calcalistech.com/ctechnews/article/s18wcz11r2,2023,Qtr 2,May,17
Lending Club,Post-IPO,United States,1902,392,3761,Finance,460,2020,Qtr 2,April,21,21,4,30%,2,Normal,2020,SF Bay Area,,https://www.cnbc.com/2020/04/21/lendingclub-cuts-30percent-of-workforce-as-covid-19-dampens-demand-for-loans.html,2020,Qtr 2,April,22
Lending Club,Post-IPO,United States,633,392,978,Finance,172,2023,Qtr 4,October,12,12,10,14%,4,Normal,2023,SF Bay Area,,https://www.bloomberg.com/news/articles/2023-10-12/lendingclub-plans-to-cut-172-jobs-reports-preliminary-results?embedded-checkout=true,2023,Qtr 4,October,13
Lending Club,Post-IPO,United States,906,392,2093,Finance,225,2023,Qtr 1,January,12,12,1,14%,1,Normal,2023,SF Bay Area,,https://www.bloomberg.com/news/articles/2023-01-12/lendingclub-to-cut-14-of-workers-take-charges-of-5-7-million,2023,Qtr 1,January,13
Lendingkart,Unknown,India,1878,200,3634,Finance,500,2020,Qtr 2,May,15,15,5,50%,2,Normal,2020,Ahmedabad,Non-U.S.,https://officechai.com/news/lendingkart-lays-off-500-employees-50-workforce-sources/,2020,Qtr 2,May,15
Lendis,Series A,Germany,1098,90,3067,Other,18,2022,Qtr 3,July,4,4,7,15%,3,Normal,2022,Berlin,Non-U.S.,https://www.businessinsider.de/gruenderszene/news/news-ticker-lendis-2022-07/,2022,Qtr 3,July,7
Lev,Series B,United States,942,114,2281,Real Estate,30,2022,Qtr 4,December,7,7,12,30%,4,Normal,2022,New York City,,https://therealdeal.com/2022/12/07/cre-finance-platform-lev-lays-off-chunk-of-staff/,2022,Qtr 4,December,11
Lever,Series C,United States,1915,72,3857,Recruiting,86,2020,Qtr 2,April,8,8,4,40%,2,Normal,2020,SF Bay Area,,https://layoffs.fyi/2020/04/13/lever-laid-off-109-employees/,2020,Qtr 2,April,9
Licious,Series F,India,513,490,646,Food,80,2024,Qtr 1,February,9,9,2,3%,1,Normal,2024,Bengaluru,Non-U.S.,https://www.livemint.com/companies/licious-lays-off-80-employees-with-eye-on-growth-11707473279919.html,2024,Qtr 1,February,9
Liftoff,Acquired,United States,970,6,2487,Marketing,130,2022,Qtr 4,November,9,9,11,15%,4,Normal,2022,SF Bay Area,,Internal memo,2022,Qtr 4,November,17
Lighter Capital,Series B,United States,1812,15,3531,Finance,22,2020,Qtr 3,July,20,20,7,49%,3,Normal,2020,Seattle,,https://www.geekwire.com/2020/seattle-based-alternative-vc-firm-lighter-capital-lays-off-employees/,2020,Qtr 3,July,20
Lighter Capital,Series B,United States,1899,15,3737,Finance,18,2020,Qtr 2,April,24,24,4,22%,2,Normal,2020,Seattle,,https://www.geekwire.com/2020/seattle-investment-company-lighter-capital-trims-staff-preserve-runway/,2020,Qtr 2,April,27
Lightico,Series B,Israel,882,42,1870,Finance,20,2023,Qtr 1,February,5,5,2,25%,1,Normal,2023,Tel Aviv,Non-U.S.,https://www.calcalistech.com/ctechnews/article/bydwq4phj,2023,Qtr 1,February,7
Lightricks,Series D,Israel,1098,335,3064,Consumer,80,2022,Qtr 3,July,4,4,7,12%,3,Normal,2022,Jerusalem,Non-U.S.,https://en.globes.co.il/en/article-app-developer-lightricks-lays-off-70-in-israel-1001417020,2022,Qtr 3,July,4
Lightricks,Series D,Israel,370,335,401,Consumer,70,2024,Qtr 3,July,1,1,7,12%,3,Normal,2024,Jerusalem,Non-U.S.,https://www.calcalistech.com/ctechnews/article/b1dj8mgda,2024,Qtr 3,July,3
Lightspeed Commerce,Post-IPO,Canada,901,1200,2055,Retail,300,2023,Qtr 1,January,17,17,1,10%,1,Normal,2023,Montreal,Non-U.S.,https://www.prnewswire.com/news-releases/lightspeed-commerce-streamlines-operations-with-a-continued-focus-on-profitable-growth-301723292.html,2023,Qtr 1,January,17
Lilium,Post-IPO,Germany,195,1400,174,Aerospace,1000,2024,Qtr 4,December,23,23,12,100%,4,Normal,2024,Munich,Non-U.S.,https://techcrunch.com/2024/12/23/electric-aircraft-startup-lilium-ceases-operations-1000-workers-laid-off/,2024,Qtr 4,December,28
Lime,Series D,United States,1894,765,3716,Transportation,80,2020,Qtr 2,April,29,29,4,13%,2,Normal,2020,SF Bay Area,,https://layoffs.fyi/2020/05/04/lime-laid-off-80-employees/,2020,Qtr 2,April,30
LinkedIn,Acquired,United States,1811,154,3530,Recruiting,960,2020,Qtr 3,July,21,21,7,6%,3,Normal,2020,SF Bay Area,,https://layoffs.fyi/2020/08/04/linkedin-launches-official-talent-directory-after-laying-off-960-employees/,2020,Qtr 3,July,21
LinkedIn,Acquired,United States,227,154,206,Recruiting,202,2024,Qtr 4,November,21,21,11,1%,4,Normal,2024,SF Bay Area,,https://www.theinformation.com/briefings/linkedin-lays-off-200-employees,2024,Qtr 4,November,24
LinkedIn,Acquired,United States,629,154,967,Recruiting,660,2023,Qtr 4,October,16,16,10,3%,4,Normal,2023,SF Bay Area,,https://techcrunch.com/2023/10/16/linkedin-layoffs-2/,2023,Qtr 4,October,16
LinkedIn,Acquired,United States,790,154,1475,Recruiting,716,2023,Qtr 2,May,8,8,5,4%,2,Normal,2023,SF Bay Area,,https://www.reuters.com/technology/linkedin-cut-716-jobs-phase-out-china-local-jobs-app-2023-05-09/,2023,Qtr 2,May,9
Linkfire,Seed,Denmark,999,2,2635,Marketing,35,2022,Qtr 4,October,11,11,10,35%,4,Normal,2022,Copenhagen,Non-U.S.,https://view.news.eu.nasdaq.com/view?id=bc7bad5005a84b17bcf95ce24675c058c&lang=en,2022,Qtr 4,October,26
Linktree,Unknown,Australia,1062,165,2853,Consumer,50,2022,Qtr 3,August,9,9,8,17%,3,Normal,2022,Melbourne,Non-U.S.,https://www.smartcompany.com.au/industries/information-technology/linktree-sacks-employees-tech/,2022,Qtr 3,August,9
Linktree,Unknown,Australia,761,165,1386,Consumer,60,2023,Qtr 2,June,6,6,6,27%,2,Normal,2023,Melbourne,Non-U.S.,https://www.startupdaily.net/topic/business/link-in-bio-startup-linktree-slashes-local-jobs-again-shedding-27-of-anz-workforce/,2023,Qtr 2,June,6
Lithic,Series C,United States,942,115,2282,Finance,27,2022,Qtr 4,December,7,7,12,18%,4,Normal,2022,New York City,,https://www.axios.com/pro/fintech-deals/2022/12/07/fintech-lithic-lays-off-27,2022,Qtr 4,December,9
Liv Up,Series D,Brazil,1236,118,3406,Food,100,2022,Qtr 1,February,16,16,2,15%,1,Normal,2022,Sao Paulo,Non-U.S.,https://startups.com.br/noticias/liv-up-faz-reestruturacao-e-corta-15-do-quadro/,2022,Qtr 2,April,28
LivePerson,Post-IPO,United States,1025,42,2702,Support,193,2022,Qtr 3,September,15,15,9,11%,3,Normal,2022,New York City,,Internal memo,2022,Qtr 3,September,16
LiveRamp,Post-IPO,United States,123,16,87,Marketing,65,2025,Qtr 1,March,5,5,3,5%,1,Normal,2025,SF Bay Area,,https://www.benzinga.com/news/guidance/25/03/44189581/saas-company-liveramp-lays-off-5-of-full-time-workforce-amid-strategic-restructuring,2025,Qtr 1,March,7
Livspace,Series D,India,1874,157,3620,Retail,450,2020,Qtr 2,May,19,19,5,15%,2,Normal,2020,Bengaluru,Non-U.S.,https://tech.economictimes.indiatimes.com/news/startups/livspace-lays-off-450-employees-as-lockdown-hurts-operations/75823519,2020,Qtr 2,May,19
Livspace,Series F,India,842,431,1658,Retail,100,2023,Qtr 1,March,17,17,3,2%,1,Normal,2023,Bengaluru,Non-U.S.,https://inc42.com/buzz/exclusive-home-decor-unicorn-livspace-lays-off-100-employees/,2023,Qtr 1,March,20
Loco,Acquired,India,584,52,861,Consumer,40,2023,Qtr 4,November,30,30,11,36%,4,Normal,2023,Mumbai,Non-U.S.,https://inc42.com/buzz/krafton-backed-loco-joins-layoff-spree-trims-36-headcount/,2023,Qtr 4,December,2
Loft,Series C,Brazil,1906,263,3784,Real Estate,47,2020,Qtr 2,April,17,17,4,10%,2,Normal,2020,Sao Paulo,Non-U.S.,"https://link.estadao.com.br/noticias/inovacao,quinto-andar-demite-cerca-de-8-do-time-por-conta-do-coronavirus,70003274741",2020,Qtr 2,April,18
Loft,Unknown,Brazil,1097,788,3055,Real Estate,384,2022,Qtr 3,July,5,5,7,12%,3,Normal,2022,Sao Paulo,Non-U.S.,https://startups.com.br/noticias/loft-faz-segunda-rodada-de-demissoes-e-corta-mais-380/,2022,Qtr 3,July,5
Loft,Unknown,Brazil,856,788,1705,Real Estate,340,2023,Qtr 1,March,3,3,3,15%,1,Normal,2023,Sao Paulo,Non-U.S.,https://startups.com.br/demissoes/loft/,2023,Qtr 1,March,4
Loft,Unknown,Brazil,942,788,2272,Real Estate,312,2022,Qtr 4,December,7,7,12,12%,4,Normal,2022,Sao Paulo,Non-U.S.,https://www.bloomberglinea.com/english/brazilian-unicorn-loft-sheds-12-of-staff-in-third-wave-of-layoffs-this-year/,2022,Qtr 4,December,8
Loftium,Series A,United States,1864,17,3597,Real Estate,32,2020,Qtr 2,May,29,29,5,60%,2,Normal,2020,Seattle,,https://www.seattletimes.com/business/real-estate/seattle-based-airbnb-rental-startup-loftium-misses-its-own-rent-payments-slashes-staff-as-coronavirus-undercuts-business/,2020,Qtr 2,May,30
Loftsmart,Series A,United States,1924,18,4001,Real Estate,25,2020,Qtr 1,March,30,30,3,75%,1,Normal,2020,New York City,,https://www.linkedin.com/posts/swbernstein_founder-operator-and-investor-friends-activity-6647864445718585344-4i-K,2020,Qtr 2,April,6
Loggi,Series F,Brazil,1063,507,2864,Logistics,500,2022,Qtr 3,August,8,8,8,15%,3,Normal,2022,Sao Paulo,Non-U.S.,https://startups.com.br/noticias/na-onda-dos-layoffs-loggi-demite-cerca-de-15-da-sua-forca-de-trabalho/,2022,Qtr 3,August,9
Loggi,Series F,Brazil,881,507,1860,Logistics,300,2023,Qtr 1,February,6,6,2,7%,1,Normal,2023,Sao Paulo,Non-U.S.,https://www.infomoney.com.br/negocios/pela-segunda-vez-loggi-reduz-equipe-com-demissoes-em-massa/,2023,Qtr 1,February,7
Logically,Series A,United Kingdom,139,37,110,AI,40,2025,Qtr 1,February,17,17,2,20%,1,Normal,2025,Manchester,Non-U.S.,https://sifted.eu/articles/anti-misinformation-startup-logically-lays-off-dozens-in-global-cost-cutting-drive,2025,Qtr 1,February,18
Lokalise,Series B,United States,963,56,2420,Other,76,2022,Qtr 4,November,16,16,11,23%,4,Normal,2022,Dover,,https://lokalise.com/blog/changes-at-lokalise/,2022,Qtr 4,November,17
Loom,Series C,United States,1131,203,3269,Product,34,2022,Qtr 2,June,1,1,6,14%,2,Normal,2022,SF Bay Area,,https://techcrunch.com/2022/06/01/a16z-backed-loom-video-layoffs/,2022,Qtr 2,June,2
Loom,Series C,United States,990,203,2598,Product,23,2022,Qtr 4,October,20,20,10,11%,4,Normal,2022,SF Bay Area,,https://www.sfgate.com/bayarea/article/sf-based-loom-video-tech-unicorn-layoffs-17522993.php,2022,Qtr 4,October,21
LOOP,Series A,United States,1047,24,2789,Finance,15,2022,Qtr 3,August,24,24,8,20%,3,Normal,2022,Washington D.C.,,https://www.coverager.com/layoffs-at-loop/,2022,Qtr 3,August,25
LOOP,Series A,United States,385,34,429,Finance,23,2024,Qtr 2,June,16,16,6,77%,2,Normal,2024,Austin,,https://www.coverager.com/loop-goes-through-another-round-of-layoffs/,2024,Qtr 2,June,19
LOOP,Series A,United States,829,24,1609,Finance,19,2023,Qtr 1,March,30,30,3,25%,1,Normal,2023,Austin,,https://coverager.com/loop-conducts-another-round-of-layoffs/,2023,Qtr 2,April,3
Loopio,Series A,Canada,1889,11,3692,Sales,11,2020,Qtr 2,May,4,4,5,8%,2,Normal,2020,Toronto,Non-U.S.,https://betakit.com/loopio-lays-off-11-staff-as-it-sees-increased-scrutiny-from-buyers-during-pandemic/,2020,Qtr 2,May,7
LoopMe,Unknown,United Kingdom,1914,32,3849,Marketing,8,2020,Qtr 2,April,9,9,4,4%,2,Normal,2020,London,Non-U.S.,https://www.adweek.com/programmatic/multiple-ad-tech-companies-suffer-layoffs-as-unemployment-spikes/,2020,Qtr 2,April,10
Lucid Motors,Post-IPO,United States,408,8300,462,Transportation,400,2024,Qtr 2,May,24,24,5,6%,2,Normal,2024,SF Bay Area,,https://electrek.co/2024/05/24/lucid-lcid-cuts-us-workforce-by-6-ahead-gravity-ev-launch/,2024,Qtr 2,May,24
Lucid Motors,Post-IPO,United States,831,8300,1626,Transportation,1300,2023,Qtr 1,March,28,28,3,18%,1,Major,2023,SF Bay Area,,https://techcrunch.com/2023/03/28/lucid-to-lay-off-1300-employees-in-restructuring/,2023,Qtr 1,March,29
Lucid Software,Series E,United States,650,170,1027,Other,75,2023,Qtr 3,September,25,25,9,7%,3,Normal,2023,Salt Lake City,,https://lucid.co/blog/a-message-to-lucid-employees,2023,Qtr 3,September,26
Luminar,Post-IPO,United States,429,780,495,Transportation,140,2024,Qtr 2,May,3,3,5,20%,2,Normal,2024,Orlando,,https://techcrunch.com/2024/05/03/luminar-layoffs-reduction-restructuring-lidar/,2024,Qtr 2,May,4
